name,team,link,photo,salary,draftClass,careerGP,careerMin,careerPTS,instagramHandle,followerCount,year,round,pick
Jaylen Brown, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/3917376/jaylen-brown,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,6534829,"2016: Rd 1, Pk 3 (BOS)",272,26.1,12.9,fchwpo,1201270,2016,1,3
Carsen Edwards, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4066407/carsen-edwards,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,1228026,"2019: Rd 2, Pk 33 (PHI)",35,9,3,cboogie_3,330954,2019,2,33
Tacko Fall, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/3904625/tacko-fall,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,,,6,4,3.2,tackofall99,985022,,,
Javonte Green, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/2596112/javonte-green,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,898310,,44,9.4,2.9,savagewoo2,38629,,,
Gordon Hayward, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4249/gordon-hayward,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,32700690,"2010: Rd 1, Pk 9 (UTAH)",634,30.8,15.3,gordonhayward,1525819,2010,1,9
Enes Kanter, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/6447/enes-kanter,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,4767000,"2011: Rd 1, Pk 3 (UTAH)",634,21.8,11.6,eneskanter11,528039,2011,1,3
Romeo Langford, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4397008/romeo-langford,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,3458400,"2019: Rd 1, Pk 14 (BOS)",27,11,2.6,yeahyeah22,201863,2019,1,14
Semi Ojeleye, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/3056602/semi-ojeleye,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,1618520,"2017: Rd 2, Pk 37 (BOS)",190,13.9,3,semi,111592,2017,2,37
Vincent Poirier, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4237215/vincent-poirier,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,2505793,,21,5.4,1.9,viinze_17p,41857,,,
Marcus Smart, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/2990992/marcus-smart,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,12553571,"2014: Rd 1, Pk 6 (BOS)",394,29,9.9,youngamechanger,516161,2014,1,6
Jayson Tatum, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4065648/jayson-tatum,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,7830000,"2017: Rd 1, Pk 3 (BOS)",218,31.8,17.2,jaytatum0,3162138,2017,1,3
Daniel Theis, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/2451037/daniel-theis,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,5000000,,187,17.2,6.7,dtheis10,120587,,,
Kemba Walker, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/6479/kemba-walker,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,32742000,"2011: Rd 1, Pk 9 (CHA)",655,33.9,20,_kw15,1559822,2011,1,9
Brad Wanamaker, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/6507/brad-wanamaker,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,1445697,,99,15.7,5.6,bwan22,45892,,,
Tremont Waters, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4278080/tremont-waters,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,,"2019: Rd 2, Pk 51 (BOS)",10,8.9,3.3,tremontwaters,85940,2019,2,51
Grant Williams, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4066218/grant-williams,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,2379840,"2019: Rd 1, Pk 22 (BOS)",62,15.6,3.5,grantwill2,131921,2019,1,22
Robert Williams III, Boston Celtics,http://www.espn.com/nba/player/stats/_/id/4066211/robert-williams-iii,https://a.espncdn.com/i/headshots/nba/players/full/3917376.png,1937520,"2018: Rd 1, Pk 27 (BOS)",55,11,3.3,williams.lll,100124,2018,1,27
