Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.2,9.712,48.56,NP BLSKL CHKTHGH • NP CHCKN DRUMS • SC 90%LEAN GRBF • HTFD HOT ITL 16Z • TH FRMS LAMB 1LB
1,PRODUCE,0.729090909090909,6.054545454545454,66.6,NP ORG GALA APPL • MANDARINS 3LB • BROCCOLI CROWNS • SCALLIONS • CELLO LETTUCE 24 • *HASS AVOCADOS • ONION SETS • SUNMD YOGRT RAI • GREEN TOMATOES • BLUEBERRIES 18Z • GRN SDLS GRAPES
2,GROCERY,0.15625,5.312499999999999,85.0,NWMN TMTBSLBMBLN • MWMN O SCE23.5Z • SB BRDCRMB PLN15 • MC EXTRACT 2Z • SB PURE 0016.9 • NSTRL MRSL 11.5Z • GOYA THAI JASMINE • BOBS RDM SODA16Z • DRMFLD SPAGHETTI • SB ELBOW MACONI • SB REG SPAGHETTI • KAME STRFRY RC N • NP NATALMDBR16ZT • CHICHI BURRITO • CF ORG GRAN14.6Z • PPCORNR CHIPS 7Z
3,FROZEN FOOD,0.0,3.39,3.39,SB CHR VN IC 42Z
4,BAKERY - COMMERCIAL,0.3,8.335,16.67,DKB 21 GRAIN 27Z • DAVE BAGEL 16.75Z
5,BAKE SHOP,0.0,3.49,3.49,6CT NO PT ROLL
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.12428571428571426,4.231428571428571,29.619999999999997,LAND LK BUTTERLB • CHD JACK FNCY SH • FNCY SHR PARM CH • LRGE WHT EGGS • SB JUMBO EGGS • SB OJ W/C100%52Z • SB WHOLE MILK
8,GENERAL MERCHANDISE,0.0,5.19,5.19,HF COOKIE SHT 2E
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
10,DELI,0.0,0.0,0.0,
