Day,Percent
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,1
2/12/20,2
2/13/20,2
2/14/20,1
2/15/20,1
2/16/20,1
2/17/20,1
2/18/20,1
2/19/20,1
2/20/20,1
2/21/20,2
2/22/20,1
2/23/20,2
2/24/20,3
2/25/20,4
2/26/20,5
2/27/20,6
2/28/20,7
2/29/20,6
3/1/20,5
3/2/20,9
3/3/20,10
3/4/20,10
3/5/20,14
3/6/20,14
3/7/20,13
3/8/20,14
3/9/20,23
3/10/20,26
3/11/20,35
3/12/20,63
3/13/20,65
3/14/20,59
3/15/20,66
3/16/20,91
3/17/20,85
3/18/20,93
3/19/20,97
3/20/20,95
3/21/20,84
3/22/20,86
3/23/20,100
3/24/20,91
3/25/20,87
3/26/20,95
3/27/20,97
3/28/20,86
3/29/20,85
3/30/20,96
3/31/20,93
4/1/20,93
4/2/20,94
4/3/20,91
4/4/20,80
4/5/20,81
4/6/20,87
4/7/20,77
4/8/20,71
4/9/20,70
4/10/20,65
4/11/20,61
4/12/20,53
4/13/20,61
