,text,created_at,retweet_count,favorite_count,is_retweet,word,china_virus,enlargen
0,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/NB3LRIZHI7,4/16/20 22:07,1362,0,TRUE,Coronavirus,0,0
1,RT @WhiteHouse: To date more than 3.3 million Coronavirus tests have been completed and 48 different tests have been authorized. https://t…,4/15/20 22:51,8350,0,TRUE,Coronavirus,0,0
2,RT @TrumpWarRoom: Media keep asking what the Trump Administration was doing in February to combat the coronavirus after restricting travel…,4/14/20 1:00,21835,0,TRUE,coronavirus,0,0
3,RT @WhiteHouse: LIVE: Press Briefing with Coronavirus Task Force https://t.co/IoHRJuAFbT,4/13/20 21:50,9950,0,TRUE,Coronavirus,0,0
4,Having been involved in the negotiations to put it mildly the number that OPEC+ is looking to cut is 20 Million Barrels a day not the 10 Million that is generally being reported. If anything near this happens and the World gets back to business from the Covid 19.....,4/13/20 13:31,23549,112834,FALSE,Covid,0,0
5,The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and Peter Navarro memo was same as Ban (see his statements). Fake News!,4/13/20 2:08,29769,127107,FALSE,China,0,0
6,The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and @PeterNavarroUSA memo was same as Ban (see his statements). Fake News!,4/13/20 1:09,9083,33889,FALSE,China,0,0
7,Sorry Fake News it’s all on tape. I banned China long before people spoke up. Thank you @OANN https://t.co/d40JQkUZg5,4/12/20 22:51,37218,118462,FALSE,China,0,0
8,RT @ChuckRossDC: Scott Gottlieb says @WHO enabled China's obfuscation on coronavirus and that it could have been containable had Beijing n…,4/12/20 22:17,8235,0,TRUE,coronavirus,0,0
9,Great businessman &amp; philanthropist Bernie Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer,4/12/20 16:14,31704,145456,FALSE,CoronaVirus,0,0
