Day,Percent
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,3
1/22/20,3
1/23/20,4
1/24/20,8
1/25/20,9
1/26/20,10
1/27/20,11
1/28/20,12
1/29/20,11
1/30/20,12
1/31/20,11
2/1/20,9
2/2/20,8
2/3/20,7
2/4/20,6
2/5/20,6
2/6/20,6
2/7/20,6
2/8/20,6
2/9/20,5
2/10/20,5
2/11/20,5
2/12/20,4
2/13/20,5
2/14/20,4
2/15/20,4
2/16/20,3
2/17/20,4
2/18/20,4
2/19/20,3
2/20/20,3
2/21/20,3
2/22/20,4
2/23/20,5
2/24/20,7
2/25/20,11
2/26/20,16
2/27/20,19
2/28/20,18
2/29/20,20
3/1/20,17
3/2/20,26
3/3/20,25
3/4/20,24
3/5/20,29
3/6/20,30
3/7/20,32
3/8/20,29
3/9/20,38
3/10/20,45
3/11/20,55
3/12/20,95
3/13/20,90
3/14/20,80
3/15/20,100
3/16/20,97
3/17/20,89
3/18/20,80
3/19/20,78
3/20/20,75
3/21/20,75
3/22/20,79
3/23/20,71
3/24/20,64
3/25/20,60
3/26/20,60
3/27/20,59
3/28/20,56
3/29/20,56
3/30/20,50
3/31/20,47
4/1/20,47
4/2/20,46
4/3/20,56
4/4/20,60
4/5/20,59
4/6/20,60
4/7/20,55
4/8/20,51
4/9/20,48
4/10/20,45
4/11/20,36
4/12/20,29
4/13/20,41
