Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.3666666666666667,9.093333333333334,54.56,SB SLC BACON 162 • NP MILD CHCK SSG • NP BNL CHKN BRST • HTFD HOT ITL 162 • ORG 85% GRND BF • GROUND STEAK 80%
1,PRODUCE,0.51,5.515714285714286,38.61,ORG BLURRY 4 . 4Z • PREM PETITE CAR • BROCCOLI CROWNS • CELLO LETTUCE 24 • GRN SDLS GRAPES • MANDARINS 3LB • SU GARLIC 9 .5Z
2,GROCERY,0.10615384615384617,4.948461538461539,64.33000000000001,CENTO TUNA FISH • NMITLNSSG&PPR24Z • HLMNS RLMAYO 202 • CAROLINA JASMINE • RED LBSTR CHD BA • SB REG SPAGHETTI • SB ROTINI • MCVT MLK CHC DIG • SUN LUCK SESME O • SB XTRLTOO 16.92 • CF ORG GRAN14.6Z • SB SOY SCE 102 • POPCHIPS SSLT 5Z
3,FROZEN FOOD,0.5814285714285715,7.491428571428572,52.440000000000005,TK H VN CHO 482 • RAVIOLI CHEESE • NP ORG CA BLN16Z • NP ORGANIC MIXED • NP PEAS&CRTS 162 • NWMNO UNCP15. IZ • NWMNO SPRM PZ17Z
4,BAKERY - COMMERCIAL,0.0,4.098571428571428,28.689999999999998,DKB 21 GRAIN 27Z DAIRY • PHIL SFT CRM CHS • SB SHRED MOZZ 82 • FNCY 4 CHS MEX • FNCY SHR PARM CH • SB LG UH EGG 18 • SB UHOLE MILK
5,BAKE SHOP,0.0,3.245,6.49,12 GLAZED DONUTS • 6CT NO PT ROLL
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.0,0.0,0.0,
8,GENERAL MERCHANDISE,0.0,6.69,6.69,SL COURSE GRATER
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
10,DELI,0.0,0.0,0.0,
