Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.4257142857142857,9.508571428571429,66.56,TH fRMS LAMB 11B • ROUND STEAK 80% • JHNSNVLE DINN Ll • SB SLC BACON 162 • P TS CKN CUTLET NP TS CKN CUTLET • BNLS CKNBRST TND • HTFD SWT ITL 16Z
1,PRODUCE,2.934285714285714,7.618571428571428,53.33,CELLO LETTUCE 24 • BROCCOLI CROWNS • *HASS AVOCADOs • ORG BLUBRRY 4.42 • VINE RIPE TOMATO • MANDARINS 3LB • RED SDLS GRAPES
2,GROCERY,0.330625,4.955,79.28,"NP ORG TOM BSL S • NP ORG SC PARM • NP NATRLMDBTR16Z • SB GRAPE JELLY • NUMNPSSOCKARNI • TOI ASIAN BBQ12Z • CAROLINA JASMINE • SB SUGAR 16Z • SB DBL ZIP FRZR • KAME STRFRYHKN N • CF ORG GRN13.5Z • ANNIE HONEY GRA • MCVT MLK CHC HBN • SB SALTINES • SB ELBOW MACRONf • PCORNR CHIPS, 7Z"
3,FROZEN FOOD,0.4,2.5,2.5,TK HL DTCH CHO
4,BAKERY - COMMERCIAL,0.0,8.635,17.27,DAVE BAGEL 16.752 • DKB 21 GRAIN 272
5,BAKE SHOP,0.0,4.0,8.0,12 GLAZED DONUTS • DNT HOLES POWDER
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.1309090909090909,3.209090909090909,35.3,"SB UT PRVLN 7.62 • SB yu AMRCN IUS • SB CRM CHEESE8 • FNCY 4 CHS MEX • FNCY SHR PARM CH • MAC N CHEESE BLD • LAND LK BUTTERLB
*f • SB SET CRM CHS • SS SOUR CREAM • SB JUMBO EGGS • SB WHOLE MILK"
8,GENERAL MERCHANDISE,0.0,0.0,0.0,
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
