Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.3333333333333333,12.271666666666668,73.63000000000001,SWEET ITLN SSG • HTFD HOT ITL 16Z • NP BLSKL CHKTHGN • FPK 80% GRD BEEF • SB SLC BACON 16Z • BNLS CKNBRST TND
1,PRODUCE,1.722,6.761,67.61,NP ORG FUJI 3LB • NP BBY PLD CRT • ONION SETS • CELLO LETTUCE 24 • BROCCOLI CROWNS • *HASS AVOCADOs • TOMATO ON VINE • MANDARINS 3LB • GRN SDLS GRAPES • ORG BLUBRRY 4.4Z
2,GROCERY,0.135,5.898333333333333,70.78,NP ORGNC ALM BTR • GYA X-VG OLV OIL • KIKM GLT FRE SOY • CENTO TUNA FISH • SB THIN SPAGHETI • NP ORG EV0016.9Z • BONN MAM RASPBRY • CHICHI BURRITO • SB ELBOW MACARONI • KAME STRFRYHKN N • CF ORG GRAN14.6Z • PPCORNR CHIPS 7Z
3,FROZEN FOOD,0.0,0.0,0.0,
4,BAKERY - COMMERCIAL,2.05,9.58,19.16,DKB 21 GRAIN 27Z • DAVE BGL 16.75Z
5,BAKE SHOP,0.0,4.0,8.0,12 GLAZED DONUTS • DNT HOLES POWDER
6,PREPARED FOODS,0.0,0.0,0.0,
7,DAIRY,0.0,3.685,36.85,SB OJ W/C100%52Z • FNCY SHRD TACO • FNCY SHR PARM CH • PHIL SFT CRM CHS • LAND LK BUTTERLB • FNCY 4 CHS MEX • SB JUMBO EGGS • SB SL MED CHED • NP STRNG CHS 6Z • SB WHOLE MILK
8,GENERAL MERCHANDISE,0.0,2.29,2.29,SL SINK STRAINER
9,HEALTH AND BEAUTY CARE,0.0,0.0,0.0,
10,DELI,0.0,3.99,3.99,AMOR ITLN RLS 6P
