Index,Category,Savings,PriceMean,PriceTotal,Items
0,MEAT,0.765,13.18666666666667,158.24000000000004,SC 90% BEEF 1 Z • NP BNL CHKN B ST • SC 90%LEAN GRBF • TH FRMS LAMB ILB • SB SLC BACON 162 • CHORIZO LINK 162 • BNLS CC PORK CHP • PERD BRST TNDRS • NP MILD CHCK SSG • HTFD HOT ITL 162 • ORG 85% GRND BF • GROUND STEAK 80%
1,PRODUCE,0.767142857142857,11.052142857142854,154.72999999999996,CAULIFLOWER 9CT • SW GARLIC 9.52 • CELLO LETTUCE 24 • 2LB BABY PLD CAR • MANDARINS 3LB • NP ORG FUJI 3LB • BROCCOLI CROWNS • RED SDLS GRAPES • BLUEBERRIES 182 • +HASS AVOCADOS • POTATOES • EX LRG TOMATOES  • ORG BLURRY 4 . 4Z • PREM PETITE CAR
2,GROCERY,0.20380952380952383,5.1085714285714285,107.27999999999999,SB ELBOW MACRONI • RhOS ELBOW 162 • RMS PENNE 162 • SB FLOUR ALL 51B • NP OG CRY PN BUT • NP FF ALM BTR 12 • NMITLNSSG8PPR24Z • NUMN SAU 23.5Z • SB SALTINES • MCVT MLK CHO DIG • CENTO TUNA FISH • HLMNS RLMAYO 202 • CAROLINA JASMINE • RED LBSTR CHD BA • SB REG SPAGHETTI • SB ROTINI • SUN LUCK SESME O • SB XTRLTOO 16.92 • CF ORG GRAN14.6Z • SB SOY SCE 102 • POPCHIPS SSLT 5Z
3,FROZEN FOOD,0.47333333333333333,6.1322222222222225,55.190000000000005,SB CUT BROC 162 • SB GREEN PEAS16Z • TK H VN CHO 482 • RAVIOLI CHEESE • NP ORG CA BLN16Z • NP ORGANIC MIXED • NP PEAS&CRTS 162 • NWMNO UNCP15. IZ • NWMNO SPRM PZ17Z
4,BAKERY - COMMERCIAL,0.04833333333333333,4.152500000000001,49.830000000000005,PHLY MALTYGR18.4 DAIRY • HLNDL EGGS MD12C • MhC N CHEESE BLD • SB HAMBURGER ROL p/ • DAVE BAGEL 16.752  • DKB 21 GRAIN 27Z DAIRY • PHIL SFT CRM CHS • SB SHRED MOZZ 82 • FNCY 4 CHS MEX • FNCY SHR PARM CH • SB LG UH EGG 18 • SB UHOLE MILK
5,BAKE SHOP,0.0,5.163333333333333,15.49,12 GLAZED DONUTS • DNT HORS ASSORT • 6CT NO PT ROLL
6,PREPARED FOODS,0.0,6.99,6.99,ROTIS CHKN HOT 
7,DAIRY,0.0,2.29,2.29,SB UT PRVLN 7.62
8,GENERAL MERCHANDISE,0.0,6.69,6.69,SL COURSE GRATER
9,HEALTH AND BEAUTY CARE,0.0,2.54,5.08,Cl 91% ISO ALCHL • Cl SJ CTTN BALLS
